Date,Open,High,Low,Close,Volume,Adj Close
11/1/2006,28.78,30,28.58,29.36,61544700,25.22
12/1/2006,29.23,30.26,28.8,29.86,58945000,25.65
1/3/2007,29.91,31.48,29.4,30.86,69924300,26.51
2/1/2007,30.84,30.94,27.79,28.17,72483300,24.28
3/1/2007,27.82,28.55,26.6,27.87,59843900,24.02
4/2/2007,27.89,30.74,27.56,29.94,51337600,25.81
5/1/2007,29.94,31.16,29.9,30.69,64202000,26.54
6/1/2007,30.79,30.9,29.04,29.47,59647900,25.49
7/2/2007,29.67,31.84,28.95,28.99,64862000,25.07
8/1/2007,28.95,30.1,27.51,28.73,55264800,24.93
9/4/2007,28.5,29.85,28.27,29.46,61223000,25.57
10/1/2007,29.46,37,29.29,36.81,85080900,31.95
11/1/2007,36.53,37.5,32.68,33.6,90498800,29.26
12/3/2007,33.5,36.72,32.63,35.6,55002300,31
1/2/2008,35.79,35.96,31.04,32.6,97806800,28.39
2/1/2008,31.06,33.25,27.02,27.2,122053500,23.78
3/3/2008,27.24,29.59,26.87,28.38,74958500,24.81
4/1/2008,28.83,32.1,27.93,28.52,69066000,24.93
5/1/2008,28.5,30.53,27.95,28.32,69931800,24.85
6/2/2008,28.24,29.57,27.11,27.51,77058100,24.13
7/1/2008,27.27,27.91,24.87,25.72,77180100,22.56
8/1/2008,25.92,28.5,25.07,27.29,59889700,24.04
9/2/2008,27.67,27.76,23.5,26.69,96891900,23.51
10/1/2008,26.38,27.47,20.65,22.33,136418800,19.67
11/3/2008,22.48,23.66,17.5,20.22,95976900,17.93
12/1/2008,19.88,21.25,18.47,19.44,72425500,17.24
1/2/2009,19.53,21,16.75,17.1,81319400,15.16
2/2/2009,17.03,19.93,16.1,16.15,81560000,14.42
3/2/2009,15.96,18.88,14.87,18.37,78069100,16.4
4/1/2009,18.23,21.2,18.18,20.26,78563800,18.09
5/1/2009,20.19,20.94,19.01,20.89,57362800,18.77
6/1/2009,21,24.34,20.86,23.77,67163500,21.36
7/1/2009,24.05,25.72,22,23.52,71441700,21.13
8/3/2009,23.82,25.49,23.03,24.65,49659200,22.27
9/1/2009,24.35,26.25,23.76,25.72,52500600,23.24
10/1/2009,25.41,29.35,24.43,27.73,72581900,25.06
11/2/2009,27.7,30.14,27.41,29.41,53121400,26.69
12/1/2009,29.52,31.5,29.25,30.48,43297000,27.66
1/4/2010,30.62,31.24,27.66,28.18,81765200,25.58
2/1/2010,28.39,29.03,27.57,28.67,58684900,26.14
3/1/2010,28.77,30.57,28.24,29.29,51043300,26.71
4/1/2010,29.35,31.58,28.62,30.54,65821100,27.85
5/3/2010,30.67,31.06,24.56,25.8,89381300,23.63
6/1/2010,25.53,26.93,22.95,23.01,79675500,21.08
7/1/2010,23.09,26.41,22.73,25.81,71053500,23.64
8/2/2010,25.99,26.38,23.32,23.47,61156600,21.61
9/1/2010,23.67,25.53,23.54,24.49,63542900,22.55
10/1/2010,24.77,27.2,23.78,26.67,66458300,24.56
11/1/2010,26.88,28.87,24.93,25.26,68402700,23.4
12/1/2010,25.57,28.4,25.56,27.91,48111900,25.86
1/3/2011,28.05,29.46,27.42,27.73,71312700,25.69
2/1/2011,27.8,28.34,26.43,26.58,61355100,24.77
3/1/2011,26.6,26.78,24.68,25.39,59744300,23.66
4/1/2011,25.53,26.87,24.72,25.92,81660300,24.16
5/2/2011,25.94,26.25,24.03,25.01,67821800,23.46
6/1/2011,24.99,26,23.65,26,61377000,24.39
7/1/2011,25.93,28.15,25.84,27.4,68186700,25.7
8/1/2011,27.51,27.69,23.79,26.6,77332100,25.11
9/1/2011,26.46,27.5,24.6,24.89,63522800,23.5
10/3/2011,24.72,27.5,24.26,26.63,60235300,25.14
11/1/2011,26.19,27.2,24.3,25.58,53693200,24.33
12/1/2011,25.56,26.19,25.16,25.96,49264800,24.69
1/3/2012,26.55,29.95,26.39,29.53,70271500,28.09
2/1/2012,29.79,32,29.71,31.74,52182700,30.39
3/1/2012,31.93,32.95,31.49,32.26,44277900,30.88
4/2/2012,32.22,32.89,30.23,32.02,48821800,30.65
5/1/2012,32.05,32.34,28.64,29.19,47886600,28.13
6/1/2012,28.76,31.14,28.32,30.59,48969400,29.48
7/2/2012,30.62,31.05,28.54,29.47,42105900,28.4
8/1/2012,29.59,30.96,28.97,30.82,30797300,29.9
9/4/2012,30.45,31.61,29.74,29.76,49859800,28.87
10/1/2012,29.81,30.25,27.76,28.54,55946000,27.68
11/1/2012,28.84,30.2,26.34,26.62,66390700,26.03
12/3/2012,26.78,27.73,26.26,26.71,49503000,26.12
1/2/2013,27.25,28.23,26.28,27.45,56932500,26.85
2/1/2013,27.67,28.2,27.1,27.8,42969800,27.41
3/1/2013,27.72,28.66,27.52,28.61,45019900,28.21
4/1/2013,28.64,33.11,28.11,33.1,70041900,32.64
5/1/2013,32.93,35.28,32.32,34.9,51273800,34.66
6/3/2013,34.92,35.78,32.57,34.54,50535000,34.3
7/1/2013,34.75,36.43,31.02,31.84,52501300,31.62
8/1/2013,32.06,35.2,30.84,33.4,49729700,33.4
9/3/2013,31.75,33.75,30.95,33.28,64077900,33.28
10/1/2013,33.35,34.03,32.8,33.01,45374100,33.01
